system_id,group,metric,mean,ci95_low,ci95_high,count
agentic_map,answer,answer_reference_token_f1,0.3689654045273327,0.32651852116528984,0.4166344058599937,60.0
agentic_map,answer,answer_reference_token_precision,0.27314283738675516,0.22884775702948387,0.31603414393685003,60.0
agentic_map,answer,answer_reference_token_recall,0.7008854922901432,0.6490650460232651,0.7522540744958414,60.0
agentic_map,answer,citation_precision,0.4575910200910201,0.3478198653198653,0.5697130647130647,60.0
agentic_map,answer,citation_recall,0.6333333333333333,0.49444444444444435,0.7597222222222222,60.0
agentic_map,answer,citation_support_rate,0.3977505827505828,0.29864117364117365,0.4931998556998557,60.0
agentic_map,retrieval,context_precision_at_4,0.5666666666666667,0.425,0.6972222222222222,60.0
agentic_map,retrieval,context_recall_at_4,0.5777777777777777,0.43888888888888883,0.7069444444444445,60.0
agentic_map,routing,document_recall_at_1,0.5472222222222223,0.4749999999999999,0.5944444444444443,60.0
agentic_map,routing,document_recall_at_3,0.9305555555555556,0.875,0.9777777777777779,60.0
agentic_map,retrieval,evidence_quote_recall_at_4,0.6069444444444444,0.46944444444444444,0.7416666666666667,60.0
agentic_map,answer,invalid_citation_rate,0.0,0.0,0.0,60.0
agentic_map,map,map_completion_rate,1.0,1.0,1.0,20.0
agentic_map,map,map_compression_ratio,0.07721369122238259,0.05844989091526813,0.10025766456322924,20.0
agentic_map,map,map_schema_validity,1.0,1.0,1.0,20.0
agentic_map,map,map_source_reference_validity,1.0,1.0,1.0,20.0
agentic_map,routing,mrr,0.9472222222222223,0.8944444444444445,0.9916666666666666,60.0
agentic_map,efficiency,query_duration_ms,30835.271106862154,28493.86897837588,33438.50476451528,60.0
agentic_map,routing,required_document_coverage,0.8666666666666667,0.7666666666666667,0.95,60.0
agentic_map,retrieval,segment_recall_at_4,0.5777777777777777,0.45138888888888884,0.7069444444444445,60.0
agentic_map,efficiency,tool_calls,2.0,2.0,2.0,60.0
flat_vector,answer,answer_reference_token_f1,0.3584823973348381,0.3174606197866551,0.3986211433792416,60.0
flat_vector,answer,answer_reference_token_precision,0.2635941230519655,0.22718027675414398,0.3014893543408784,60.0
flat_vector,answer,answer_reference_token_recall,0.6985511580418033,0.6510282789247581,0.7382465840101772,60.0
flat_vector,answer,citation_precision,0.4027645502645502,0.29723544973544974,0.506468253968254,60.0
flat_vector,answer,citation_recall,0.6,0.4569444444444445,0.7375,60.0
flat_vector,answer,citation_support_rate,0.3577050264550265,0.2650396825396825,0.44638227513227513,60.0
flat_vector,retrieval,context_precision_at_4,0.5458333333333333,0.4097222222222222,0.6763888888888889,60.0
flat_vector,retrieval,context_recall_at_4,0.538888888888889,0.4125,0.6722222222222222,60.0
flat_vector,routing,document_recall_at_1,0.4777777777777778,0.3833333333333333,0.5555555555555556,60.0
flat_vector,routing,document_recall_at_3,0.788888888888889,0.6944444444444444,0.8694444444444445,60.0
flat_vector,retrieval,evidence_quote_recall_at_4,0.5819444444444444,0.45138888888888884,0.7180555555555556,60.0
flat_vector,answer,invalid_citation_rate,0.0,0.0,0.0,60.0
flat_vector,routing,mrr,0.85,0.7472222222222222,0.9444444444444444,60.0
flat_vector,efficiency,query_duration_ms,16575.407977052964,14738.631298555993,18904.16773117613,60.0
flat_vector,routing,required_document_coverage,0.5833333333333334,0.4666666666666666,0.7,60.0
flat_vector,retrieval,segment_recall_at_4,0.538888888888889,0.39305555555555555,0.6638888888888889,60.0
flat_vector,efficiency,tool_calls,1.0,1.0,1.0,60.0
hierarchical_map,answer,answer_reference_token_f1,0.36664962928909195,0.3222001655948694,0.4146539029664236,60.0
hierarchical_map,answer,answer_reference_token_precision,0.27392581964913626,0.22908222915038046,0.32450836804341077,60.0
hierarchical_map,answer,answer_reference_token_recall,0.7055208840877055,0.6531752200533117,0.7558161156660761,60.0
hierarchical_map,answer,citation_precision,0.4103464590964591,0.29207671957671955,0.5326414326414326,60.0
hierarchical_map,answer,citation_recall,0.6097222222222223,0.4527777777777778,0.7666666666666666,60.0
hierarchical_map,answer,citation_support_rate,0.3595980870980871,0.2602991452991453,0.4433017908017908,60.0
hierarchical_map,retrieval,context_precision_at_4,0.5416666666666666,0.39305555555555555,0.6777777777777778,60.0
hierarchical_map,retrieval,context_recall_at_4,0.5611111111111111,0.4125,0.6972222222222222,60.0
hierarchical_map,routing,document_recall_at_1,0.525,0.4611111111111111,0.5833333333333333,60.0
hierarchical_map,routing,document_recall_at_3,0.8944444444444444,0.8444444444444444,0.9416666666666667,60.0
hierarchical_map,retrieval,evidence_quote_recall_at_4,0.5791666666666667,0.4222222222222222,0.7277777777777777,60.0
hierarchical_map,answer,invalid_citation_rate,0.0,0.0,0.0,60.0
hierarchical_map,map,map_completion_rate,1.0,1.0,1.0,20.0
hierarchical_map,map,map_compression_ratio,0.07403622608356612,0.05387600167067691,0.09513452772141018,20.0
hierarchical_map,map,map_schema_validity,1.0,1.0,1.0,20.0
hierarchical_map,map,map_source_reference_validity,1.0,1.0,1.0,20.0
hierarchical_map,routing,mrr,0.9361111111111111,0.888888888888889,0.9805555555555555,60.0
hierarchical_map,efficiency,query_duration_ms,30291.25099592687,27134.35575487868,33756.64915225934,60.0
hierarchical_map,routing,required_document_coverage,0.75,0.6333333333333333,0.85,60.0
hierarchical_map,retrieval,segment_recall_at_4,0.5611111111111111,0.41527777777777775,0.7,60.0
hierarchical_map,efficiency,tool_calls,2.0,2.0,2.0,60.0
map_reduce,answer,answer_reference_token_f1,0.373362814664021,0.32041197316910874,0.42784175125991314,60.0
map_reduce,answer,answer_reference_token_precision,0.282792121000622,0.2301962694500927,0.3380423700484455,60.0
map_reduce,answer,answer_reference_token_recall,0.7109908977846273,0.6631757676395719,0.7588924268513307,60.0
map_reduce,answer,citation_precision,0.409268278018278,0.3058862433862434,0.5292676767676767,60.0
map_reduce,answer,citation_recall,0.5916666666666667,0.4527777777777778,0.7152777777777778,60.0
map_reduce,answer,citation_support_rate,0.4306740019240019,0.32816137566137565,0.5400793650793652,60.0
map_reduce,retrieval,context_precision_at_4,0.5513888888888889,0.4111111111111111,0.6819444444444445,60.0
map_reduce,retrieval,context_recall_at_4,0.5666666666666667,0.4416666666666666,0.6888888888888889,60.0
map_reduce,routing,document_recall_at_1,0.5416666666666666,0.4694444444444444,0.5944444444444443,60.0
map_reduce,routing,document_recall_at_3,0.9222222222222223,0.8777777777777777,0.961111111111111,60.0
map_reduce,retrieval,evidence_quote_recall_at_4,0.5944444444444444,0.4652777777777778,0.7166666666666667,60.0
map_reduce,answer,invalid_citation_rate,0.0,0.0,0.0,60.0
map_reduce,map,map_completion_rate,1.0,1.0,1.0,20.0
map_reduce,map,map_compression_ratio,0.07070666452322984,0.0523423644515254,0.09046559883115739,20.0
map_reduce,map,map_schema_validity,1.0,1.0,1.0,20.0
map_reduce,map,map_source_reference_validity,1.0,1.0,1.0,20.0
map_reduce,routing,mrr,0.9388888888888889,0.888888888888889,0.9833333333333334,60.0
map_reduce,efficiency,query_duration_ms,34180.540520899616,31397.410750055376,37832.80882088778,60.0
map_reduce,routing,required_document_coverage,0.8166666666666667,0.7166666666666666,0.9,60.0
