system_id,metric,mean,count
agentic_map,answer_reference_token_f1,0.3689654045273327,60.0
agentic_map,answer_reference_token_precision,0.27314283738675516,60.0
agentic_map,answer_reference_token_recall,0.7008854922901432,60.0
agentic_map,citation_precision,0.4575910200910201,60.0
agentic_map,citation_recall,0.6333333333333333,60.0
agentic_map,citation_support_rate,0.3977505827505828,60.0
agentic_map,context_precision_at_4,0.5666666666666667,60.0
agentic_map,context_recall_at_4,0.5777777777777777,60.0
agentic_map,document_recall_at_1,0.5472222222222223,60.0
agentic_map,document_recall_at_3,0.9305555555555556,60.0
agentic_map,evidence_quote_recall_at_4,0.6069444444444444,60.0
agentic_map,invalid_citation_rate,0.0,60.0
agentic_map,map_completion_rate,1.0,20.0
agentic_map,map_compression_ratio,0.07721369122238259,20.0
agentic_map,map_schema_validity,1.0,20.0
agentic_map,map_source_reference_validity,1.0,20.0
agentic_map,mrr,0.9472222222222223,60.0
agentic_map,query_duration_ms,30835.271106862154,60.0
agentic_map,required_document_coverage,0.8666666666666667,60.0
agentic_map,segment_recall_at_4,0.5777777777777777,60.0
agentic_map,tool_calls,2.0,60.0
flat_vector,answer_reference_token_f1,0.3584823973348381,60.0
flat_vector,answer_reference_token_precision,0.2635941230519655,60.0
flat_vector,answer_reference_token_recall,0.6985511580418033,60.0
flat_vector,citation_precision,0.4027645502645502,60.0
flat_vector,citation_recall,0.6,60.0
flat_vector,citation_support_rate,0.3577050264550265,60.0
flat_vector,context_precision_at_4,0.5458333333333333,60.0
flat_vector,context_recall_at_4,0.538888888888889,60.0
flat_vector,document_recall_at_1,0.4777777777777778,60.0
flat_vector,document_recall_at_3,0.788888888888889,60.0
flat_vector,evidence_quote_recall_at_4,0.5819444444444444,60.0
flat_vector,invalid_citation_rate,0.0,60.0
flat_vector,mrr,0.85,60.0
flat_vector,query_duration_ms,16575.407977052964,60.0
flat_vector,required_document_coverage,0.5833333333333334,60.0
flat_vector,segment_recall_at_4,0.538888888888889,60.0
flat_vector,tool_calls,1.0,60.0
hierarchical_map,answer_reference_token_f1,0.36664962928909195,60.0
hierarchical_map,answer_reference_token_precision,0.27392581964913626,60.0
hierarchical_map,answer_reference_token_recall,0.7055208840877055,60.0
hierarchical_map,citation_precision,0.4103464590964591,60.0
hierarchical_map,citation_recall,0.6097222222222223,60.0
hierarchical_map,citation_support_rate,0.3595980870980871,60.0
hierarchical_map,context_precision_at_4,0.5416666666666666,60.0
hierarchical_map,context_recall_at_4,0.5611111111111111,60.0
hierarchical_map,document_recall_at_1,0.525,60.0
hierarchical_map,document_recall_at_3,0.8944444444444444,60.0
hierarchical_map,evidence_quote_recall_at_4,0.5791666666666667,60.0
hierarchical_map,invalid_citation_rate,0.0,60.0
hierarchical_map,map_completion_rate,1.0,20.0
hierarchical_map,map_compression_ratio,0.07403622608356612,20.0
hierarchical_map,map_schema_validity,1.0,20.0
hierarchical_map,map_source_reference_validity,1.0,20.0
hierarchical_map,mrr,0.9361111111111111,60.0
hierarchical_map,query_duration_ms,30291.25099592687,60.0
hierarchical_map,required_document_coverage,0.75,60.0
hierarchical_map,segment_recall_at_4,0.5611111111111111,60.0
hierarchical_map,tool_calls,2.0,60.0
map_reduce,answer_reference_token_f1,0.373362814664021,60.0
map_reduce,answer_reference_token_precision,0.282792121000622,60.0
map_reduce,answer_reference_token_recall,0.7109908977846273,60.0
map_reduce,citation_precision,0.409268278018278,60.0
map_reduce,citation_recall,0.5916666666666667,60.0
map_reduce,citation_support_rate,0.4306740019240019,60.0
map_reduce,context_precision_at_4,0.5513888888888889,60.0
map_reduce,context_recall_at_4,0.5666666666666667,60.0
map_reduce,document_recall_at_1,0.5416666666666666,60.0
map_reduce,document_recall_at_3,0.9222222222222223,60.0
map_reduce,evidence_quote_recall_at_4,0.5944444444444444,60.0
map_reduce,invalid_citation_rate,0.0,60.0
map_reduce,map_completion_rate,1.0,20.0
map_reduce,map_compression_ratio,0.07070666452322984,20.0
map_reduce,map_schema_validity,1.0,20.0
map_reduce,map_source_reference_validity,1.0,20.0
map_reduce,mrr,0.9388888888888889,60.0
map_reduce,query_duration_ms,34180.540520899616,60.0
map_reduce,required_document_coverage,0.8166666666666667,60.0
map_reduce,segment_recall_at_4,0.5666666666666667,60.0
map_reduce,tool_calls,2.0,60.0
outline_then_fill,answer_reference_token_f1,0.3638757958897244,60.0
outline_then_fill,answer_reference_token_precision,0.2686697459789047,60.0
outline_then_fill,answer_reference_token_recall,0.7081846908004937,60.0
outline_then_fill,citation_precision,0.379480424546214,60.0
outline_then_fill,citation_recall,0.5722222222222223,60.0
outline_then_fill,citation_support_rate,0.4176764512290828,60.0
outline_then_fill,context_precision_at_4,0.5513888888888889,60.0
outline_then_fill,context_recall_at_4,0.5722222222222223,60.0
outline_then_fill,document_recall_at_1,0.5194444444444445,60.0
outline_then_fill,document_recall_at_3,0.888888888888889,60.0
outline_then_fill,evidence_quote_recall_at_4,0.5986111111111111,60.0
outline_then_fill,invalid_citation_rate,0.0,60.0
outline_then_fill,map_completion_rate,1.0,20.0
outline_then_fill,map_compression_ratio,0.07197613574106455,20.0
outline_then_fill,map_schema_validity,1.0,20.0
outline_then_fill,map_source_reference_validity,1.0,20.0
outline_then_fill,mrr,0.9194444444444444,60.0
outline_then_fill,query_duration_ms,30276.155894459225,60.0
outline_then_fill,required_document_coverage,0.7166666666666667,60.0
outline_then_fill,segment_recall_at_4,0.5722222222222223,60.0
outline_then_fill,tool_calls,2.0,60.0
refine,answer_reference_token_f1,0.3714676794612347,60.0
refine,answer_reference_token_precision,0.27784036107696086,60.0
refine,answer_reference_token_recall,0.7059336454292511,60.0
refine,citation_precision,0.4522988122988123,60.0
refine,citation_recall,0.6694444444444444,60.0
refine,citation_support_rate,0.4053399378399378,60.0
refine,context_precision_at_4,0.576388888888889,60.0
refine,context_recall_at_4,0.5638888888888889,60.0
refine,document_recall_at_1,0.5111111111111112,60.0
refine,document_recall_at_3,0.9,60.0
refine,evidence_quote_recall_at_4,0.5902777777777778,60.0
refine,invalid_citation_rate,0.0,60.0
refine,map_completion_rate,1.0,20.0
refine,map_compression_ratio,0.06778324080576628,20.0
refine,map_schema_validity,1.0,20.0
refine,map_source_reference_validity,1.0,20.0
refine,mrr,0.9222222222222223,60.0
refine,query_duration_ms,32661.617907586817,60.0
refine,required_document_coverage,0.7666666666666667,60.0
refine,segment_recall_at_4,0.5638888888888889,60.0
refine,tool_calls,2.0,60.0
stuffing,answer_reference_token_f1,0.3758054395831916,60.0
stuffing,answer_reference_token_precision,0.2827699018325026,60.0
stuffing,answer_reference_token_recall,0.6865131631806238,60.0
stuffing,citation_precision,0.4560653235653236,60.0
stuffing,citation_recall,0.6402777777777777,60.0
stuffing,citation_support_rate,0.4082539682539682,60.0
stuffing,context_precision_at_4,0.5888888888888889,60.0
stuffing,context_recall_at_4,0.576388888888889,60.0
stuffing,document_recall_at_1,0.45555555555555555,60.0
stuffing,document_recall_at_3,0.7055555555555556,60.0
stuffing,evidence_quote_recall_at_4,0.625,60.0
stuffing,invalid_citation_rate,0.0,60.0
stuffing,map_completion_rate,0.7436309523809523,20.0
stuffing,map_compression_ratio,0.061133145988386726,20.0
stuffing,map_schema_validity,1.0,20.0
stuffing,map_source_reference_validity,1.0,20.0
stuffing,mrr,0.8305555555555556,60.0
stuffing,query_duration_ms,34385.611971506536,60.0
stuffing,required_document_coverage,0.5,60.0
stuffing,segment_recall_at_4,0.576388888888889,60.0
stuffing,tool_calls,2.0,60.0
